,,,,,
,,,,22nd November 2021,
,,,,,
,,,,Draft Programme,
,,,,,
,,,,,
,,,,,
,,,,,
Start,Duration,End,,,
,,,,,
12:00,01:00,13:00,Registration,,
,,,,,
13:00,00:10,13:10,Welcome,,
,,,,,
13:10,02:00,15:10,Session 1,Segmentation,
13:10,00:30,13:40,Anna Kreshuk,EMBL Heidelberg,Image segmentation with machine learning
13:40,00:30,14:10,Wei Ouyang,KTH Royal Insitute of Technology,Supercharging interactivity and scalability of bioimage analysis with ImJoy
14:10,00:30,14:40,Carsen Stringer,Janelia Research Campus,Precise segmentation of diverse cell types with cellpose and suite2p
14:40,00:10,14:50,Delisa Garcia,Arivis,"View it, Process it, Share it: Get your results faster with Arivis"
14:50,00:10,15:00,Tech Bite 2,Nikon,
15:00,00:10,15:10,Alan Kidger,Zeiss,Enabling Integrated Machine-learning Workflows
,,,,,
15:10,00:40,15:50,Explore Gather!,,
,,,,,
15:50,00:10,16:00,Georgina Fletcher,Royal Microscopical Society,Image Analysis and the RMS
,,,,,
16:00,01:20,17:20,Session 2,High-Throughput,
16:00,00:30,16:30,Shantanu Singh,Broad Institute,Driving biomedical discoveries with Cell Painting and machine learning
16:30,00:10,16:40,Sandhya Prabhakaran,Moffitt Cancer Centre,Sparcle: assigning transcripts to cells in multiplexed images
16:40,00:10,16:50,Ali Shariati,UC Santa Cruz,DeepSea: An efficient deep learning model for automated analysis of single cell time-lapse microscopy
,,,,,
16:50,00:30,17:20,Yo Yehudi,Wellcome Trust,Open and equitable research software and communities
,,,,,
17:20,00:20,17:40,Poster Pitches,,
,,,,,
17:40,,,End Day 1 - Explore Gather!,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
